Processor,Camera,phoneName,price,ram_memory,rom_memory,Display Size,battery
MediaTek Helio P35 Octa Core Processor,12MP + 8MP + 2MP + 2MP | 16MP Front Camera,Infinix S5 Pro ,"12,999",6 GB RAM , 64 GB ROM ,16.0 cm  Full HD+ ,5000 
Qualcomm Snapdragon 665 Processor,48MP + 8MP + 2MP | 16MP Front Camera,Redmi 9 Power ,"13,160",6 GB RAM , 128 GB ROM ,16.26 cm  Full HD+ ,4000 
Qualcomm Snapdragon 665 Processor,48MP + 8MP + 2MP | 16MP Front Camera,Realme 5i ,"10,999",3 GB RAM , 32 GB ROM ,16.0 cm  Full HD+ ,5000 
Qualcomm Snapdragon 665 Processor,48MP + 2MP + Low Light Sensor | 16MP Front Camera,Nokia 2.4 ,"10,399",4 GB RAM , 64 GB ROM ,16.59 cm  Full HD+ ,4230 
MediaTek MT6762 Processor,48MP Rear Camera | 8MP Front Camera,Vivo U10 ,"10,990",8 GB RAM , 128 GB ROM,16.94 cm  Full HD+ ,3765 
Qualcomm Snapdragon 675 Processor,12MP + 8MP + 2MP + 2MP | 8MP Front Camera,Apple iPhone 12 ,"84,900",4 GB RAM , 64 GB ROM ,16.94 cm  Full HD+ ,5000 
MediaTek | MT6739WW quad core  Processor,13MP + 2MP | 5MP Front Camera,Apple iPhone SE ,"49,999",8 GB RAM , 256 GB ROM ,16.13 cm  HD+ ,4025 
Qualcomm Snapdragon 855 Processor,13MP + 8MP + 2MP | 8MP Front Camera,Samsung Galaxy M11 ,"11,785",8 GB RAM , 256 GB ROM ,13.46 cm  Full HD+ ,4025 
MediaTek Helio G90T Processor,12MP + 12MP | 12MP Front Camera,Vivo Z1Pro ,"17,990",6 GB RAM , 128 GB ROM ,14.73 cm  Super Retina XDR ,5000 
MediaTek Helio G90T Processor,12MP Rear Camera | 7MP Front Camera,Vivo Z1Pro ,"14,990",8 GB RAM , 128 GB ROM ,16.69 cm  Full HD+ ,4500 
Qualcomm Snapdragon 665 Processor,13MP + 5MP + 2MP | 8MP Front Camera,OPPO A15S ,"12,490",8 GB RAM , 512 GB ROM ,120 Hz Smooth ,4500 
A14 Bionic Chip with Next Generation Neural Engine Processor,16MP + 2MP + 8MP | 32MP Front Camera,Redmi Note 6 Pro ,"11,999",8 GB RAM , 128 GB ROM ,16.51 cm  Full HD+ ,4015 
Qualcomm Snapdragon 439 Processor,16MP + 2MP + 8MP | 32MP Front Camera,Redmi Note 6 Pro ,"14,998",6 GB RAM , 128 GB ROM,16.51 cm  ,6000 
A13 Bionic Chip Processor,13MP Rear Camera,Mi 10i ,"23,649",4 GB RAM , 128 GB ROM,16.51 cm  HD+ ,6000 
Qualcomm Snapdragon 665 Processor,12MP + 5MP | 20MP + 2MP Dual Front Camera,Redmi 9A ,"8,350",6 GB RAM , 128 GB ROM ,15.8 cm  HD+ ,4300 
MediaTek Helio G90T Processor,12MP + 5MP | 20MP + 2MP Dual Front Camera,Motorola G9 ,"10,999",6 GB RAM , 128 GB ROM ,16.51 cm  HD+ ,4500 
MediaTek Helio G90T Processor,108MP + 8MP + 2MP + 2MP | 16MP Front Camera,OPPO A31 ,"12,790",8 GB RAM , 128 GB ROM ,16.59 cm  Full HD+ ,4000 
A14 Bionic Chip with Next Generation Neural Engine Processor,13MP Rear Camera | 5MP Front Camera,OPPO A9 2020 ,"15,990",4 GB RAM , 64 GB ROM ,16.59 cm  HD ,5000 
A14 Bionic Chip with Next Generation Neural Engine Processor,48MP + 2MP + 2MP | 8MP Front Camera,OPPO A9 2020 ,"14,990",4 GB RAM , 64 GB ROM ,16.51 cm  Full HD+ ,4000 
Kirin 710F Processor,12MP + 2MP + 2MP | 8MP Front Camera,OPPO A9 2020 ,"14,990",6 GB RAM , 64 GB ROM ,Super AMOLED ,4500 
MediaTek Helio P35 (MTK6765) Processor,48MP + 8MP + 2MP + 2MP | 16MP Front Camera,Samsung Galaxy A10s ,"9,299",8 GB RAM , 128 GB ROM ,16.0 cm  ,4500 
Qualcomm Snapdragon 865 Processor,48MP + 8MP + 2MP + 2MP | 16MP Front Camera,Redmi Note 7 Pro ,"12,999",3 GB RAM , 32 GB ROM ,17.27 cm  ,3080 
SC9863 Octa Core Processor,48MP + 8MP + 2MP + 2MP | 16MP Front Camera,Samsung M01 core ,"6,150",6 GB RAM , 128 GB ROM ,Super AMOLED ,4300 
Exynos 850 Octa Core Processor,13MP + 2MP | 8MP Front Camera,Redmi K20 Pro ,"26,999",6 GB RAM , 128 GB ROM ,16.51 cm  HD+ ,5020 
Qualcomm Snapdragon™ 855 Octa-core (up to 2.84 GHz x 1 + 2.42 GHz x 3 + 1.79 GHz x 4) Processor,48MP + 5MP | 13MP Front Camera,Redmi Note 8 Pro ,"17,999",4 GB RAM , 64 GB ROM ,HD+ Mini Drop ,4000 
MediaTek Helio G70 (12 nm) Processor,8MP Rear Camera | 5MP Front Camera,Redmi Note 8 Pro ,"17,999",4 GB RAM , 128 GB ROM,16.56 cm  ,5000 
MediaTek Helio P35 Octa Core Processor,48MP + 13MP + 8MP | 20MP Front Camera,OPPO A5 2020 ,"14,100",6 GB RAM , 128 GB ROM,15.8 cm  HD+ ,3010 
Qualcomm Snapdragon 710 Octa Core 2.2 GHz AIE Processor,64MP + 8MP + 2MP + 2MP | 20MP Front Camera,Apple iPhone 12 ,"79,900",6 GB RAM , 128 GB ROM ,16.69 cm  Full HD+ ,4300 
MediaTek Helio P22 Processor,64MP + 8MP + 2MP + 2MP | 20MP Front Camera,Redmi 8A Dual ,"6,997",3 GB RAM , 32 GB ROM ,120 Hz Smooth ,4230 
A14 Bionic Chip with Next Generation Neural Engine Processor,12MP + 8MP + 2MP + 2MP | 8MP Front Camera,Apple iPhone 11 Pro ,"1,17,900",6 GB RAM , 64 GB ROM ,16.69 cm  Full HD+ ,4000 
MediaTek Helio P95 Processor,12MP + 12MP | 12MP Front Camera,OPPO A52 ,"16,990",4 GB RAM , 64 GB ROM,120 Hz Smooth ,5000 
MediaTek Helio P95 Processor,13MP + 2MP | 8MP Front Camera,Realme 6 ,"16,999",3 GB RAM , 32 GB ROM ,15.75 cm  Full HD+ ,4000 
Exynos 850 Octa Core Processor,12MP + 12MP + 12MP | 12MP Front Camera,Redmi Note 8 Pro ,"15,999",3 GB RAM , 32 GB ROM ,16.56 cm  HD+ ,5000 
Qualcomm SM6150 Processor,12MP + 8MP + 2MP + 2MP | 16MP Front Camera,Apple iPhone 12 Pro ,"1,19,900",3 GB RAM , 64 GB ROM,16.56 cm  HD+ ,5000 
Qualcomm Snapdragon 855 (SM8150) Processor,64MP + 8MP + 2MP + 2MP | 16MP Front Camera,Apple iPhone 12 ,"84,900",8 GB RAM , 128 GB ROM ,16.56 cm  HD+ ,5000 
MediaTek Helio P95 Processor,64MP + 8MP + 2MP + 2MP | 20MP Front Camera,Honor 9X ,"13,999",6 GB RAM , 128 GB ROM ,16.36 cm  Full HD+ ,5000 
A14 Bionic Chip with Next Generation Neural Engine Processor,12MP + 12MP + 12MP | 12MP Front Camera,Samsung M31 Prime ,"17,368",8 GB RAM , 128 GB ROM ,16.59 cm  Full HD+ ,4500 
Qualcomm Snapdragon 662 Processor,12MP + 12MP | 12MP Front Camera,Infinix S5 Pro ,"12,999",6 GB RAM , 128 GB ROM,15.21 cm  HD+ ,2510 
Qualcomm Snapdragon 845 Processor,48MP + 8MP + 2MP | 16MP Front Camera,Realme X50 Pro ,"47,999",2 GB RAM , 32 GB ROM,16.0 cm  Full HD+ ,4000 
MediaTek Helio G90T Processor,64MP Rear Camera,LG W10 Alpha ,"7,590",6 GB RAM , 64 GB ROM ,16.94 cm  Full HD+ ,4000 
Exynos 9611 Processor,48MP + 2MP + Low Light Sensor | 16MP Front Camera,OPPO A15 ,"9,390",2 GB RAM , 32 GB ROM,16.74 cm  Full HD+ ,4000 
MediaTek Helio P22 Processor,64MP + 12MP + 8MP + 2MP | 32MP + 8MP Dual Front Camera,Samsung Galaxy A21s ,"16,499",8 GB RAM , 128 GB ROM ,Pop Up AI Selfie camera with Full View ,5020 
Qualcomm Snapdragon 636 Processor,8MP Rear Camera | 8MP Front Camera,LG G8X ,"27,990",4 GB RAM , 128 GB ROM ,16.36 cm  Full HD+ ,6000 
Helio P65 (MT6768) Processor,13MP Rear Camera,Realme Narzo 10A ,"8,999",4 GB RAM , 128 GB ROM,AMOLED ,6000 
A12 Bionic Chip Processor,48MP + 8MP + 2MP + 2MP | 13MP Front Camera,OPPO A31 ,"12,900",8 GB RAM , 128 GB ROM ,16.36 cm  Full HD+ ,4500 
Exynos 9810 Processor,12MP + 13MP | 32MP Front Camera,Realme X ,"21,999",6 GB RAM , 128 GB ROM ,AMOLED ,4500 
Qualcomm Snapdragon 625 Processor,12MP + 2MP + 2MP | 5MP Front Camera,Vivo Y15 ,"12,990",6 GB RAM , 128 GB ROM,16.36 cm  Full HD+ ,2510 
Snapdragon 720G Processor,12MP + 2MP + 2MP | 8MP Front Camera,Apple iPhone 12 Mini ,"69,900",4 GB RAM , 64 GB ROM ,AMOLED ,6000 
Qualcomm® Snapdragon™ 720G Processor,48MP + 5MP | 16MP Front Camera,OPPO Reno3 Pro ,"27,990",6 GB RAM , 64 GB ROM ,16.26 cm  ,4500 
MediaTek Helio P35 (MTK6765) Processor,13MP + 2MP + 8MP | 16MP Front Camera,OPPO Reno3 Pro ,"27,990",4 GB RAM , 64 GB ROM ,16.51 cm  HD+ ,6000 
Qualcomm Snapdragon 665 (2 GHz) Processor,12MP + 12MP | 12MP Front Camera,Samsung Galaxy A21s ,"17,499",4 GB RAM , 64 GB ROM ,15.47 cm  ,4230 
Qualcomm Snapdragon 660 AIE Processor,64MP + 13MP + 8MP + 2MP | 44MP + 2MP Dual Front Camera,Samsung Galaxy A70s ,"25,999",3 GB RAM , 32 GB ROM ,16.51 cm  ,4230 
Snapdragon 720G Processor,World's 1st 44MP Dual Punch Hole Camera,Samsung Galaxy S10 Lite ,"45,999",3 GB RAM , 32 GB ROM ,16.0 cm  Full HD+ ,4230 
A13 Bionic Chip with 3rd Gen Neural Engine Processor,64MP + 13MP + 8MP + 2MP | 44MP + 2MP Dual Front Camera,OPPO F17 PRO ,"22,999",4 GB RAM , 64 GB ROM ,15.8 cm  HD+ ,4230 
MediaTek Helio P60 Octa Core 2.0 GHz Processor,World's 1st 44MP Dual Punch Hole Camera,Apple iPhone 12 ,"84,900",6 GB RAM , 128 GB ROM ,16.26 cm  ,4000 
MTK Helio P70 Processor,48MP + 8MP + 2MP + 2MP | 13MP Front Camera,Samsung M31 Prime ,"18,499",8 GB RAM , 128 GB ROM ,15.49 cm  Liquid Retina HD ,4500 
A14 Bionic Chip with Next Generation Neural Engine Processor,64MP + 5MP + 8MP | 32MP Front Camera,Redmi 9 Power ,"13,780",2 GB RAM , 32 GB ROM ,16.51 cm  HD+ ,5000 
Qualcomm Snapdragon 665 Processor,48MP + 12MP + 5MP | 32MP Front Camera,LG Velvet Dual Screen ,"49,990",4 GB RAM , 128 GB ROM ,16.51 cm  Full HD+ ,6000 
A13 Bionic Chip Processor,48MP + 48MP + 8MP + 2MP + 2MP | 16MP + 16MP Dual Front Camera,Redmi Note 8 Pro ,"17,999",6 GB RAM , 128 GB ROM ,90 Hz Ultra Smooth ,4500 
MediaTek | MT6762 octa core Processor,12MP + 12MP | 12MP Front Camera,Samsung Galaxy A51 ,"24,499",6 GB RAM , 128 GB ROM,16.26 cm  HD+ ,4000 
Qualcomm Snapdragon 439 Processor,64MP Rear Camera,Vivo Y15 ,"12,990",3 GB RAM , 64 GB ROM ,16.0 cm  Full HD+ ,4000 
Qualcomm Snapdragon 665 Processor,48MP Rear Camera | 8MP Front Camera,Redmi Note 6 Pro ,"11,400",3 GB RAM , 64 GB ROM ,16.0 cm  Full HD+ ,4000 
Qualcomm Snapdragon 665 Processor,48MP + 8MP + 5MP | 16MP Front Camera,Vivo S1 ,"18,990",2 GB RAM , 32 GB ROM ,16.21 cm  Full HD+ ,5000 
Qualcomm Snapdragon 665 Processor,64MP + 8MP + 2MP + 2MP | 20MP Front Camera,Apple iPhone XR ,"43,999",2 GB RAM , 32 GB ROM ,16.21 cm  Full HD+ ,5000 
A13 Bionic Chip Processor,48MP + 12MP + 5MP + 5MP | 32MP Front Camera,Samsung Galaxy Note10 Lite ,"39,999",8 GB RAM , 128 GB ROM ,16.21 cm  Full HD+ ,5020 
Qualcomm Snapdragon 675AIE Processor,13MP + 2MP + 8MP | 16MP Front Camera,Redmi Y2 ,"9,499",8 GB RAM , 128 GB ROM ,16.56 cm  ,4500 
SDM710 Processor,12MP + 5MP | 20MP + 2MP Dual Front Camera,Realme 6 Pro ,"18,999",12 GB RAM , 256 GB ROM,16.59 cm  Full HD+ ,4000 
MTK Helio P70 Processor,16MP + 8MP + 2MP | 32MP Front Camera,Redmi Note 9 Pro ,"17,199",6 GB RAM , 128 GB ROM ,Super AMOLED ,4020 
Qualcomm Snapdragon 720G Processor,12MP Rear Camera | 7MP Front Camera,Infinix S5 Pro ,"12,999",6 GB RAM , 128 GB ROM ,16.59 cm  Full HD+ ,4500 
A14 Bionic Chip with Next Generation Neural Engine Processor,12MP + 12MP + 12MP | 32MP Front Camera,Realme 5i ,"11,999",3 GB RAM , 32 GB ROM ,Super AMOLED ,5000 
Qualcomm Snapdragon 662 Processor,12MP + 5MP | 16MP Front Camera,Mi A2 ,"13,999",4 GB RAM , 64 GB ROM ,16.59 cm  Full HD+ ,3000 
A13 Bionic Chip Processor,64MP + 12MP + 8MP + 2MP | 16MP + 8MP Dual Front Camera,Realme 6 Pro ,"18,999",8 GB RAM , 128 GB ROM ,16.94 cm  Full HD+ ,4500 
Qualcomm Snapdragon 675AIE Processor,48MP + 8MP + 5MP + 2MP | 16MP Front Camera,Apple iPhone SE ,"49,999",8 GB RAM , 128 GB ROM,16.0 cm  Full HD+ ,4500 
Qualcomm Snapdragon 720G Processor,48MP + 2MP + Low Light Sensor | 16MP Front Camera,Realme 3i ,"8,499",6 GB RAM , 64 GB ROM,16.59 cm  Full HD+ ,4500 
SDM710 Processor,12MP + 8MP + 2MP + 2MP | 8MP Front Camera,Vivo V15 ,"21,099",6 GB RAM , 64 GB ROM ,16.59 cm  Full HD+ ,4000 
Exynos 9611 Processor,20MP + 12MP | 20MP Front Camera,Apple iPhone 12 Mini ,"74,900",8 GB RAM , 128 GB ROM ,16.51 cm  Full HD+ ,4000 
MediaTek Helio G90T Processor,64MP + 12MP + 8MP + 2MP | 16MP + 8MP Dual Front Camera,OPPO A5 2020 ,"13,990",4 GB RAM , 64 GB ROM ,16.94 cm  Full HD+ ,5000 
Exynos 9611 Processor,12MP Rear Camera | 7MP Front Camera,Apple iPhone 11 ,"59,999",3 GB RAM , 32 GB ROM,16.0 cm  Full HD+ ,5000 
MediaTek Helio P60 Octa Core 2.0 GHz Processor,13MP + 2MP | 13MP Front Camera,Samsung Galaxy M01s  ,"9,543",2 GB RAM , 16 GB ROM ,16.59 cm  Full HD+ ,3000 
MediaTek Helio P60 Octa Core 2.0 GHz Processor,12MP + 5MP + 8MP | 32MP Front Camera,Redmi 8A Dual ,"8,299",8 GB RAM , 128 GB ROM ,16.59 cm  Full HD+ ,4500 
MediaTek Helio P60 Octa Core 2.0 GHz Processor,12MP + 12MP | 12MP Front Camera,OPPO A5 2020 ,"12,490",8 GB RAM , 128 GB ROM,15.9 cm  ,4500 
MediaTek Helio P60 Octa Core 2.0 GHz Processor,12MP + 8MP + 2MP + 2MP | 8MP Front Camera,OPPO A52 ,"18,990",6 GB RAM , 64 GB ROM,16.51 cm  Full HD+ ,4500 
Exynos 9611 Processor,12MP + 12MP | 12MP Front Camera,OPPO A52 ,"16,990",6 GB RAM , 64 GB ROM ,16.74 cm  Full HD+ ,4000 
Exynos 990 Processor,13MP + 2MP | 8MP Front Camera,Apple iPhone 11 Pro ,"99,900",8 GB RAM , 128 GB ROM ,Pop Up AI Selfie camera with Full View ,4000 
Qualcomm Snapdragon 439 Processor,13MP + 2MP | 8MP Front Camera,Vivo V17 ,"24,990",4 GB RAM , 64 GB ROM ,16.74 cm  Full HD+ ,5000 
Qualcomm SM6150 Processor,12MP + 8MP + 2MP + 2MP | 8MP Front Camera,Motorola Razr ,"74,999",4 GB RAM , 64 GB ROM ,Pop Up AI Selfie camera with Full View ,5000 
Qualcomm Snapdragon 730 Processor,12MP + 8MP + 2MP + 2MP | 16MP Front Camera,Redmi 7 ,"7,078",6 GB RAM , 128 GB ROM,16.59 cm  Full HD+ ,6000 
MediaTek Helio P22 (MT6762) Processor,12MP + 8MP + 2MP + 2MP | 16MP Front Camera,Vivo V15 ,"21,099",2 GB RAM , 16 GB ROM ,Pop Up AI Selfie Camera with Full View ,3000 
MediaTek Helio P22 (MT6762) Processor,12MP + 12MP + 12MP | 12MP Front Camera,Redmi 7 ,"7,089",4 GB RAM , 64 GB ROM ,16.59 cm  Full HD+ ,5000 
MediaTek Helio G35 (MT6765V/WB) Processor,48MP + 8MP + 2MP + 2MP | 32MP Front Camera,Redmi Note 9 Pro Max ,"19,999",8 GB RAM , 128 GB ROM ,16.56 cm  HD+ ,3700 
MediaTek Helio G35 (MT6765V/WB) Processor,16MP Rear Camera | 5MP Front Camera,Apple iPhone 12 Mini ,"74,900",4 GB RAM , 64 GB ROM ,16.51 cm  HD+ ,4230 
Qualcomm Snapdragon 720G Processor,12MP Rear Camera,Samsung Galaxy M30S ,"15,999",4 GB RAM , 128 GB ROM,16.13 cm  HD+ ,4000 
Qualcomm Snapdragon 855 (SM8150) Processor,12MP + 5MP + 8MP | 32MP Front Camera,Redmi 9 Power ,"14,595",2 GB RAM , 32 GB ROM ,15.49 cm  Super Retina XDR ,4000 
Qualcomm Snapdragon 855 Plus Processor,12MP Rear Camera,Apple iPhone 11 Pro ,"99,900",2 GB RAM , 32 GB ROM ,All Screen OLED ,4000 
A13 Bionic Chip with 3rd Gen Neural Engine Processor,64MP + 8MP + 5MP + 2MP | 32MP Front Camera,Vivo V17 ,"24,990",6 GB RAM , 64 GB ROM ,11.94 cm  Retina HD ,4000 
MTK MT6771V (P70) Processor,12MP + 12MP | 12MP Front Camera,Realme 7 Pro ,"19,990",3 GB RAM , 32 GB ROM ,16.26 cm  HD+ ,4000 
Qualcomm SM6150 Processor,48MP + 8MP | 16MP Front Camera,Motorola Razr ,"74,999",1 GB RAM , 16 GB ROM ,16.59 cm  Full HD+ ,2300 
Qualcomm Snapdragon 665 AIE Processor,48MP Rear Camera | 8MP Front Camera,Samsung Galaxy M30s ,"14,082",4 GB RAM , 128 GB ROM,16.59 cm  Full HD+ ,6000 
Qualcomm Snapdragon 625 Processor,12MP + 12MP + 12MP | 12MP Front Camera,Redmi Note 8 Pro ,"15,999",2 GB RAM , 16 GB ROM ,16.56 cm  ,3080 
Qualcomm Snapdragon 855 (SM8150) Processor,48MP + 8MP + 2MP + 2MP | 32MP Front Camera,Samsung Galaxy M30s ,"15,500",8 GB RAM , 128 GB ROM,15.9 cm  Full HD+ ,4500 
Qualcomm Snapdragon 712 AIE Processor,64MP + 8MP + 2MP + 2MP | 32MP Front Camera,Realme 3i ,"10,499",8 GB RAM , 128 GB ROM ,15.9 cm  Full HD+ ,4500 
Qualcomm Snapdragon 712 AIE Processor,16MP Rear Camera | 5MP Front Camera,Realme 3i ,"8,499",4 GB RAM , 64 GB ROM,16.94 cm  Full HD+ ,5020 
A14 Bionic Chip with Next Generation Neural Engine Processor,48MP Rear Camera | 16MP Front Camera,Realme 3i ,"8,499",4 GB RAM , 64 GB ROM ,16.59 cm  HD+ ,4000 
Qualcomm Snapdragon 636 Processor,64MP + 8MP + 2MP + 2MP | 20MP Front Camera,Realme 3i ,"10,499",4 GB RAM , 32 GB ROM ,16.51 cm  HD+ ,3260 
A14 Bionic Chip with Next Generation Neural Engine Processor,48MP Rear Camera | 16MP Front Camera,Samsung Galaxy A51 ,"22,999",3 GB RAM , 32 GB ROM ,16.51 cm  HD+ ,4000 
Qualcomm Snapdragon 720G Octa Core Processor,13MP + 2MP | 13MP Front Camera,Samsung Galaxy S20+ ,"54,999",3 GB RAM , 16 GB ROM ,16.51 cm  ,3200 
MediaTek Helio G35 (MT6765V/WB) Processor,13MP + 2MP | 13MP Front Camera,Redmi 8A ,"6,999",1 GB RAM , 16 GB ROM ,16.51 cm  ,2200 
Qualcomm Snapdragon 450 Processor,13MP + 2MP | 13MP Front Camera,Samsung Galaxy M30S ,"15,999",4 GB RAM , 64 GB ROM ,16.56 cm  HD ,2730 
A12 Bionic Chip Processor,13MP + 2MP | 13MP Front Camera,Samsung Galaxy A70s ,"22,999",3 GB RAM , 32 GB ROM ,15.75 cm  HD+ ,3000 
A14 Bionic Chip with Next Generation Neural Engine Processor,48MP + 12MP + 5MP + 5MP | 32MP Front Camera,Redmi K20 ,"24,999",2 GB RAM , 32 GB ROM ,16.0 cm  Full HD+ ,5000 
Exynos Octa-Core 1.6GHz Processor,64 MP + 12 MP +12 MP + VGA Depth Camera | 10MP Front Camera,LG K42 ,"10,990",2 GB RAM , 16 GB ROM ,13.46 cm  Full HD+ ,3000 
Qualcomm Snapdragon 855 (SM8150) Processor,12MP Rear Camera | 8MP Front Camera,LG K42 ,"10,990",2 GB RAM , 32 GB ROM ,16.23 cm  Full HD+ ,5000 
Qualcomm Snapdragon 712 AIE Processor,48MP + 8MP | 16MP Front Camera,Micromax IN 1b ,"6,999",8 GB RAM , 128 GB ROM ,16.59 cm  Full HD+ ,4500 
Qualcomm Snapdragon 712 AIE Processor,64MP + 5MP + 8MP | 32MP Front Camera,Micromax IN 1b ,"6,999",8 GB RAM , 128 GB ROM,16.59 cm  Full HD+ ,4350 
A14 Bionic Chip with Next Generation Neural Engine Processor,48MP + 13MP + 8MP | 20MP Front Camera,Redmi Note 9 Pro Max ,"19,999",8 GB RAM , 128 GB ROM,16.51 cm  ,4350 
Qualcomm Snapdragon 636 Processor,13MP + 5MP + 2MP + 2MP | 8MP Front Camera,Samsung Galaxy S10 Lite ,"40,999",1 GB RAM , 16 GB ROM ,15.49 cm  Super Retina XDR ,2200 
A14 Bionic Chip with Next Generation Neural Engine Processor,13MP + 5MP + 2MP + 2MP | 8MP Front Camera,Realme X2 Pro ,"35,999",4 GB RAM , 64 GB ROM ,All Screen OLED ,2730 
Qualcomm Snapdragon 720G Octa Core Processor,13MP + 2MP | 8MP Front Camera,Apple iPhone SE ,"34,999",2 GB RAM , 32 GB ROM ,15.8 cm  HD+ ,5000 
MediaTek Helio G35 (MT6765V/WB) Processor,13MP + 2MP | 8MP Front Camera,OPPO F11 ,"17,990",2 GB RAM , 16 GB ROM ,14.73 cm  Super Retina XDR ,3000 
MediaTek Helio G35 (MT6765V/WB) Processor,64MP + 8MP + 5MP + 2MP | 32MP Front Camera,Samsung Galaxy A70s ,"22,999",2 GB RAM , 32 GB ROM ,16.51 cm  Full HD+ ,5000 
A12 Bionic Chip Processor,48MP + 12MP + 5MP | 32MP Front Camera,Vivo U10 ,"10,990",8 GB RAM , 128 GB ROM ,16.51 cm  Full HD+ ,4500 
A14 Bionic Chip with Next Generation Neural Engine Processor,64MP + 13MP + 8MP + 2MP | 16MP Front Camera,Moto One ,"14,999",8 GB RAM , 128 GB ROM,90 Hz Ultra Smooth ,4350 
Exynos Octa-Core 1.6GHz Processor,12MP Rear Camera | 7MP Front Camera,Samsung Galaxy S10 Lite ,"40,999",8 GB RAM , 128 GB ROM,16.59 cm  Full HD+ ,4350 
A14 Bionic Chip with Next Generation Neural Engine Processor,48MP + 5MP | 16MP Front Camera,Vivo Z1x ,"18,990",2 GB RAM , 16 GB ROM ,15.49 cm  Super Retina XDR ,3000 
Qualcomm Snapdragon 665 AIE Processor,64MP + 5MP + 8MP | 32MP Front Camera,Vivo Z1x ,"16,990",4 GB RAM , 64 GB ROM,All Screen OLED ,4000 
A14 Bionic Chip with Next Generation Neural Engine Processor,13MP + 8MP + 2MP | 8MP Front Camera,Apple iPhone 12 Mini ,"69,900",4 GB RAM , 64 GB ROM,15.49 cm  Super Retina XDR ,5000 
Qualcomm Snapdragon 675AIE Octa Core 2.0GHz Processor,13MP + 2MP | 8MP Front Camera,Redmi Note 5 Pro ,"16,999",4 GB RAM , 64 GB ROM ,All Screen OLED ,4230 
MediaTek Helio P60 Octa Core 2.0 GHz Processor,48MP + 12MP + 5MP | 32MP Front Camera,Apple iPhone 12 Pro Max ,"1,39,900",4 GB RAM , 64 GB ROM ,16.74 cm  Full HD+ ,4000 
A13 Bionic Chip Processor,48MP + 8MP + 2MP | 32MP Front Camera,OPPO Reno4 Pro ,"34,990",4 GB RAM , 64 GB ROM ,Pop Up AI Selfie camera with Full View ,3340 
A14 Bionic Chip with Next Generation Neural Engine Processor,48MP + 8MP + 2MP | 32MP Front Camera,Micromax IN 1b ,"7,999",2 GB RAM , 32 GB ROM ,16.26 cm  ,3000 
HiSilicon Kirin 710F AI Chipset with Dual-NPU Processor,12MP + 12MP | 12MP Front Camera,Samsung M02s ,"10,499",4 GB RAM , 64 GB ROM ,16.59 cm  Full HD+ ,3600 
MediaTek P22 Octa Core 2.0 GHz Processor,12MP + 5MP | 20MP Front Camera,Apple iPhone XR ,"48,999",4 GB RAM , 32 GB ROM ,Pop Up AI Selfie Camera with Full View ,3000 
MediaTek P22 Octa Core 2.0 GHz Processor,12MP + 12MP + 12MP | 12MP Front Camera,Apple iPhone 12 Pro Max ,"1,29,900",6 GB RAM , 128 GB ROM,16.36 cm  Full HD+ ,7000 
Qualcomm Snapdragon 675 Processor,48MP + 8MP + 2MP + 2MP | 32MP Front Camera,Samsung Galaxy J7 Nxt ,"10,990",1 GB RAM , 8 GB ROM ,14.5 cm  HD+ ,2000 
A14 Bionic Chip with Next Generation Neural Engine Processor,13MP + 2MP | 8MP Front Camera,Samsung Galaxy S10 Lite ,"40,999",6 GB RAM , 128 GB ROM ,16.56 cm  ,4500 
MediaTek P22 Octa Core 2.0 GHz Processor,13MP + 2MP + 2MP | 5MP Front Camera,Vivo Z1x ,"18,990",12 GB RAM , 256 GB ROM,16.51 cm  HD+ ,4000 
MT6739WW Processor,12MP Rear Camera | 7MP Front Camera,Vivo Z1x ,"16,990",8 GB RAM , 128 GB ROM,Super AMOLED ,4000 
A13 Bionic Chip Processor,12MP + 12MP + 12MP | 12MP Front Camera,Apple iPhone 12 Mini ,"69,900",12 GB RAM , 256 GB ROM,16.26 cm  Full HD+ ,4000 
Qualcomm Snapdragon 425 Processor,13MP Rear Camera | 5MP Front Camera,Redmi Note 5 Pro ,"16,999",4 GB RAM , 64 GB ROM ,16.56 cm  HD+ ,4000 
Qualcomm Snapdragon 712 AIE Processor,48MP + 12MP + 5MP | 32MP Front Camera,Apple iPhone 12 Pro Max ,"1,39,900",4 GB RAM , 64 GB ROM,16.51 cm  HD+ ,5000 
MediaTek Helio G90T Processor,48MP + 8MP + 2MP | 32MP Front Camera,OPPO Reno4 Pro ,"34,990",8 GB RAM , 128 GB ROM ,16.59 cm  Full HD+ ,4000 
A14 Bionic Chip with Next Generation Neural Engine Processor,48MP + 8MP + 2MP | 32MP Front Camera,Micromax IN 1b ,"7,999",2 GB RAM , 16 GB ROM ,16.13 cm  HD+ ,4000 
Qualcomm Snapdragon 660 AIE Processor,12MP + 12MP | 12MP Front Camera,Micromax IN 1b ,"7,999",6 GB RAM , 128 GB ROM,13.72 cm  Super Retina XDR ,4000 
A14 Bionic Chip with Next Generation Neural Engine Processor,12MP + 5MP | 20MP Front Camera,Samsung Galaxy M31s ,"21,990",2 GB RAM , 16 GB ROM ,All Screen OLED ,3000 
Qualcomm Snapdragon 450 Processor,12MP + 12MP + 12MP | 12MP Front Camera,Apple iPhone XR ,"48,999",4 GB RAM , 64 GB ROM ,16.26 cm  ,5000 
