,Phone_Name,Processor,RAM,Display,Camera,Price,Battery
341,"Redmi 8A Dual (Midnight Grey, 32 GB)",Qualcomm Snapdragon 439 Processor,4 GB RAM | 128 GB ROM,16.59 cm (6.53 inch) Full HD+ Display,13MP + 2MP | 8MP Front Camera,"₹8,495",6000 mAh Battery
342,"Realme 6 (Comet White, 64 GB)",Exynos 9611 Processor,8 GB RAM | 128 GB ROM,16.94 cm (6.67 inch) Full HD+ Display,64MP + 8MP + 2MP + 2MP | 16MP Front Camera,"₹13,999",4820 mAh Battery
343,"OPPO A11K (Deep Blue, 32 GB)",Exynos 9611 Processor,8 GB RAM | 128 GB ROM,144Hz Intelligent AdaptiveSync Display,13MP + 2MP | 5MP Front Camera,"₹8,490",4820 mAh Battery
344,"OPPO A11K (Flowing Silver, 32 GB)",MediaTek Helio G85 Processor,3 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.94 cm (6.67 inch) Full HD+ Display,13MP + 2MP | 5MP Front Camera,"₹8,490",5000 mAh Battery
345,"Vivo X50 (Glaze Black, 256 GB)",MediaTek Helio G85 Processor,1 GB RAM | 16 GB ROM | Expandable Upto 512 GB,16.51 cm (6.5 inch) HD+ Display,48MP + 13MP + 8MP + 5MP | 32MP Front Camera,"₹37,990",3000 mAh Battery
346,"Samsung M01 core (Red, 16 GB)",A13 Bionic Chip Processor,8 GB RAM | 128 GB ROM,15.21 cm (5.99 inch) HD+ Display,8MP Rear Camera | 5MP Front Camera,"₹5,490",4200 mAh Battery
347,"Redmi 8 (Onyx Black, 64 GB)",MediaTek Helio P95 Processor,6 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.26 cm (6.4 inch) Full HD+ Display,12MP + 2MP | 8MP Front Camera,"₹9,999",5000 mAh Lithium Polymer Battery
348,"Samsung Galaxy A50s (Prism Crush Violet, 128 GB)",Qualcomm Snapdragon 712 AIE Octa Core 2.3GHz Processor,8 GB RAM | 128 GB ROM | Expandable Upto 256 GB,Super AMOLED Display,48MP + 5MP + 8MP | 32MP Front Camera,"₹14,999",5000 mAh Battery
349,"Samsung Galaxy A51 (Prism Crush Black, 128 GB)",Samsung Exynos 9 Octa 9611 Processor,6 GB RAM | 128 GB ROM | Expandable Upto 512 GB,15.8 cm (6.22 inch) HD+ Display,48MP + 12MP + 5MP + 5MP | 32MP Front Camera,"₹22,999",5000 mAh Lithium-ion Battery
350,"Redmi Note 9 (Shadow Black, 128 GB)",Exynos 9611 Processor,3 GB RAM | 32 GB ROM | Expandable Upto 512 GB,15.8 cm (6.22 inch) HD+ Display,48MP Rear Camera,"₹13,663",5000 mAh Lithium Polymer Battery
351,"Redmi Note 9 (Shadow Black, 64 GB)",Exynos 9611 Processor,6 GB RAM | 128 GB ROM | Expandable Upto 512 GB,16.94 cm (6.67 inch) Full HD+ Display,48MP Rear Camera,"₹12,484",5000 mAh Lithium-ion Battery
352,"Apple iPhone 11 (Yellow, 128 GB)",Qualcomm Snapdragon 855+ Processor,6 GB RAM | 128 GB ROM | Expandable Upto 512 GB,16.59 cm (6.53 inch) HD+ Display,12MP + 12MP | 12MP Front Camera,"₹56,999",5020 mAh Battery
353,"OPPO Reno3 Pro (Midnight Black, 128 GB)",Qualcomm® Snapdragon™ 720G Processor,4 GB RAM | 128 GB ROM,15.49 cm (6.1 inch) Liquid Retina HD Display,64MP + 13MP + 8MP + 2MP | 44MP + 2MP Dual Front Camera,"₹24,699",5020 mAh Battery
354,"Vivo Z1Pro (Sonic Blue, 128 GB)",Qualcomm Snapdragon 765G Processor,8 GB RAM | 128 GB ROM | Expandable Upto 512 GB,16.59 cm (6.53 inch) Full HD+ Display,World's 1st 44MP Dual Punch Hole Camera,"₹17,990",4000 mAh Lithium-ion Battery
355,"Samsung Galaxy M31 (Space Black, 64 GB)",Qualcomm SM7150 Processor,6 GB RAM | 128 GB ROM,16.51 cm (6.5 inch) HD+ Display,16MP + 2MP + 8MP | 32MP Front Camera,"₹16,078",3500 mAh Battery
356,"Samsung Galaxy A50s (Prism Crush Black, 128 GB)",Qualcomm Snapdragon 662 Processor,12 GB RAM | 256 GB ROM | Expandable Upto 1 TB,15.8 cm (6.22 inch) HD+ Display,64MP + 8MP + 5MP + 5MP | 32MP Front Camera,"₹14,999",4300 mAh Battery
357,"Samsung Galaxy A51 (Haze Crush Silver, 128 GB)",A14 Bionic Chip with Next Generation Neural Engine Processor,4 GB RAM | 128 GB ROM | Expandable Upto 256 GB,15.8 cm (6.22 inch) HD+ Display,48MP + 8MP + 5MP | 32MP Front Camera,"₹22,999",5000 mAh Battery
358,"Realme X3 SuperZoom (Glacier Blue, 256 GB)",Exynos 9611 Processor,3 GB RAM | 32 GB ROM,16.51 cm (6.5 inch) Full HD+ Display,48MP + 12MP + 5MP + 5MP | 32MP Front Camera,"₹32,999",4230 mAh Battery
359,"Redmi Note 9 Pro (Glacier White, 128 GB)",Qualcomm Snapdragon 865 Processor,3 GB RAM | 64 GB ROM | Expandable Upto 512 GB,Super AMOLED Display,64MP + 8MP + 8MP + 2MP | 32MP + 8MP Dual Front Camera,"₹17,599",5000 mAh Lithium Polymer Battery
360,"Vivo X50 Pro (Alpha Grey, 256 GB)",Qualcomm Snapdragon 865 Processor,8 GB RAM | 256 GB ROM,16.33 cm (6.43 inch) Full HD+ Display,48MP + 8MP + 5MP + 2MP | 16MP Front Camera,"₹49,990",4200 mAh Battery
361,"Samsung Galaxy A71 (Prism Crush Blue, 128 GB)",Qualcomm SM7150 Processor,8 GB RAM | 128 GB ROM,In-Display Fingerprint 3.0,48MP + 13MP + 8MP + 8MP | 32MP Front Camera,"₹29,499",4200 mAh Battery
362,"Redmi 9 Power (Blazing Blue, 128 GB)",Qualcomm Snapdragon 665 Processor,3 GB RAM | 32 GB ROM | Expandable Upto 512 GB,16.51 cm (6.5 inch) HD+ Display,64MP + 12MP + 5MP + 5MP | 32MP Front Camera,"₹13,146",4000 mAh Battery
363,"Apple iPhone 12 (Red, 64 GB)",MediaTek | MT6739WW quad core  Processor,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,15.49 cm (6.1 inch) Display,48MP Rear Camera | 8MP Front Camera,"₹79,900",5000 mAh Lithium-ion Battery
364,"Samsung Galaxy A51 (Prism Crush Black, 128 GB)",Qualcomm Snapdragon SDM712 Octa Core 2.3 GHz Processor,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.59 cm (6.53 inch) Full HD+ Display,12MP + 12MP | 12MP Front Camera,"₹24,499",5000 mAh Lithium-ion Battery
365,"iQOO 3 (Tornado Black, 128 GB)",Qualcomm Snapdragon SDM712 Octa Core 2.3 GHz Processor,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,16.59 cm (6.53 inch) Full HD+ Display,48MP + 12MP + 5MP + 5MP | 32MP Front Camera,"₹29,990",5000 mAh Lithium-ion Battery
366,"iQOO 3 (Quantum Silver, 128 GB)",Samsung Exynos 9 Octa 9611 Processor,8 GB RAM | 128 GB ROM,16.94 cm (6.67 inch) Full HD+ Display,48MP + 13MP + 13MP + 2MP | 16MP Front Camera,"₹29,990",4100 mAh Li-ion Battery
367,"Samsung Galaxy A71 (Prism Crush Black, 128 GB)",Qualcomm Snapdragon 665 Processor,4 GB RAM | 128 GB ROM | Expandable Upto 256 GB,15.49 cm (6.1 inch) Display,48MP + 13MP + 13MP + 2MP | 16MP Front Camera,"₹29,499",5000 mAh Li-ion Battery
368,"Redmi Note 8 (Space Black, 64 GB)",Qualcomm Snapdragon 662 Processor,2 GB RAM | 16 GB ROM | Expandable Upto 128 GB,16.51 cm (6.5 inch) HD+ Display,64MP + 12MP + 5MP + 5MP | 32MP Front Camera,"₹13,999",3040 mAh Lithium-ion Battery
369,"Samsung M01 core (Black, 16 GB)",Qualcomm® Snapdragon™ 750G Processor,3 GB RAM | 32 GB ROM,16.51 cm (6.5 inch) HD+ Display,48MP + 8MP + 2MP + 2MP | 13MP Front Camera,"₹5,398",4000 mAh Battery
370,"Realme 5 Pro (Chroma White, 128 GB)",Qualcomm® Snapdragon™ 750G Processor,6 GB RAM | 128 GB ROM | Expandable Upto 512 GB,16.36 cm (6.44 inch) Full HD+ Display,8MP Rear Camera | 5MP Front Camera,"₹16,999",5020 mAh Lithium Polymer Battery
